"","Group.1","Group.2","x"
"424","Kyrgyzstan",1998,53.5335640138408
"425","Laos",1998,83.1261235955056
"426","Latvia",1998,42.4352564102564
"427","Lebanon",1998,70.4313019390582
"428","Macedonia",1998,55.5570637119114
"429","Madagascar",1998,65.3207602339181
"430","Malawi",1998,71.4009950248756
"431","Malaysia",1998,83.9208695652174
"432","Mauritania",1998,78.956862745098
"433","Mexico",1998,71.0947586206897
"434","Mongolia",1998,32.9669444444444
"435","Morocco",1998,63.8220055710306
"436","Mozambique",1998,75.1770348837209
"437","Myanmar (Burma)",1998,83.0848942598187
"438","Namibia",1998,71.3373259052925
"439","Nepal",1998,67.6406940063091
"440","New Zealand",1998,61.2542936288089
"441","Nicaragua",1998,83.0458333333333
"442","Nigeria",1998,85.3430267062315
"443","North Korea",1998,53.7579831932773
"444","Norway",1998,41.2919667590028
"445","Pakistan",1998,76.0803072625698
"446","Panama",1998,82.2409972299169
"447","Peru",1998,69.502216066482
"448","Philippines",1998,83.1794444444444
"449","Poland",1998,47.0005540166205
"450","Portugal",1998,63.7467966573816
"451","Qatar",1998,83.0778393351801
"452","Romania",1998,51.8494475138122
"453","Russia",1998,48.4109418282548
"454","Saudi Arabia",1998,80.7222991689751
"455","Senegal",1998,77.0526315789474
"456","Serbia-Montenegro",1998,50.1747922437673
"457","Singapore",1998,83.1202216066482
"458","Slovakia",1998,51.8130555555556
"459","South Africa",1998,61.8584487534626
"460","South Korea",1998,54.8151933701657
"461","Spain",1998,59.6631578947368
"462","Sri Lanka",1998,82.8216463414634
"463","Suriname",1998,79.8329268292683
"464","Sweden",1998,44.0575
"465","Switzerland",1998,50.1903792784459
"466","Syria",1998,64.408864265928
"467","Taiwan",1998,74.6058333333333
"468","Tajikistan",1998,62.8843373493976
"469","Tanzania",1998,79.075873015873
"470","Thailand",1998,83.8398891966759
"471","The Netherlands",1998,51.1224376731302
"472","Togo",1998,82.0498452012384
"473","Tunisia",1998,66.6
"474","Turkey",1998,55.6434903047091
"475","Turkmenistan",1998,64.4561224489796
"476","Uganda",1998,73.7968253968254
"477","Ukraine",1998,46.8894444444444
"478","United Arab Emirates",1998,83.7386426592798
"479","United Kingdom",1998,51.7759002770083
"480","Uruguay",1998,59.8426592797784
"481","US",1998,58.0951221205756
"482","Uzbekistan",1998,59.6785256410256
"483","Venezuela",1998,80.6908587257618
"484","Vietnam",1998,77.1036111111111
"485","Yugoslavia",1998,53.9279778393352
"486","Zambia",1998,74.5569288389513
"487","Albania",1999,63.116961130742
"488","Algeria",1999,64.9236263736264
"489","Argentina",1999,61.8357142857143
"490","Australia",1999,62.4723626373626
"491","Austria",1999,50.9552197802198
"492","Bahamas",1999,77.6616666666667
"493","Bahrain",1999,82.2958791208791
"494","Bangladesh",1999,77.0878787878788
"495","Barbados",1999,80.5434065934066
"496","Belarus",1999,46.928021978022
"497","Belgium",1999,52.1258241758242
"498","Belize",1999,80.3158774373259
"499","Benin",1999,81.27150997151
"500","Bermuda",1999,72.6230769230769
"501","Bolivia",1999,44.3406593406593
"502","Brazil",1999,71.3842541436464
"503","Bulgaria",1999,51.0104395604396
"504","Burundi",1999,77.4
"505","Canada",1999,44.5881318681319
"506","Central African Republic",1999,78.5572307692308
"507","China",1999,60.7503296703297
"508","Colombia",1999,56.0550561797753
"509","Congo",1999,78.3449567723343
"510","Costa Rica",1999,71.4870879120879
"511","Croatia",1999,53.6573002754821
"512","Cuba",1999,75.7174285714286
"513","Cyprus",1999,65.7986842105263
"514","Czech Republic",1999,47.9313186813187
"515","Denmark",1999,47.6763736263736
"516","Dominican Republic",1999,78.8091168091168
"517","Egypt",1999,72.2848901098901
"518","Equador",1999,65.7793859649123
"519","Ethiopia",1999,62.6333333333333
"520","Finland",1999,43.2785714285714
"521","France",1999,56.0973901098901
"522","Gabon",1999,79.7982089552239
"523","Gambia",1999,78.5161559888579
"524","Georgia",1999,57.1950549450549
